Book ID,Title,Language
1,None,None
2,None,None
3,None,None
4,None,None
5,None,None
6,None,None
7,The Mayflower Compact ,English
8,"Lincoln's Second Inaugural Address, March 4, 1865 ",English
9,"Abraham Lincolnâs First Inaugural Address, March 4, 1861 ",English
10,None,None
11,None,None
12,"Through the Looking-Glass, ",English
13,The Hunting of the Snark ,English
14,The 1990 CIA World Factbook ,English
15,None,None
16,Peter Pan ,English
17,The Book Of Mormon ,English
18,None,None
19,The Song Of Hiawatha ,English
20,Paradise Lost ,English
21,Aesopâs Fables ,English
22,Rogetâs Thesaurus ,English
23,Narrative of the Life of Frederick Douglass ,English
24,O Pioneers! ,English
25,The 1991 CIA World Factbook ,English
26,Paradise Lost ,English
27,Far from the Madding Crowd ,English
28,The Fables of Aesop ,English
29,"Census of Population and Housing, 1990 ",English
30,"The Bible, King James Version ",English
31,The Oedipus Trilogy ,English
32,Herland ,English
33,The Scarlet Letter ,English
34,Zen and the Art of the Internet ,English
35,The Time Machine ,English
36,The War of the Worlds ,English
37,"Census of Population and Housing, 1990 [2nd] ",English
38,"The Jargon File, Version 2.9.10, 01 Jul 1992 ",English
39,Hitchhiker's Guide to the Internet ,English
41,The Legend of Sleepy Hollow ,English
42,The Strange Case of Dr. Jekyll and Mr. Hyde ,English
43,The Strange Case Of Dr. Jekyll And Mr. Hyde ,English
44,The Song of the Lark ,English
45,Anne of Green Gables ,English
46,A Christmas Carol ,English
47,Anne Of Avonlea ,English
48,The 1992 CIA World Factbook ,English
49,Surfing the Internet ,English
50,"Pi to 1,000,000 places ",English
51,Anne Of The Island ,English
52,The Square Root of 2 ,English
53,LOC Workshop on Electronic Texts ,English
54,The Marvellous Land of Oz ,English
55,The Wonderful Wizard of Oz ,English
56,NREN for All: Insurmountable Opportunity ,English
57,Aladdin and the Magic Lamp ,English
58,Paradise Regained ,English
59,A Discourse on Method ,English
60,The Scarlet Pimpernel ,English
61,The Communist Manifesto ,English
62,A Princess of Mars ,English
63,"The Number ""e"" ",English
64,The Gods of Mars ,English
65,"The First 100,000 Prime Numbers ",English
66,The Dawn of Amateur Radio in the U.K. and Greece ,English
67,The Black Experience in America ,English
68,The Warlord of Mars ,English
69,The 32nd Mersenne Prime ,English
70,What Is Man? And Other Stories ,English
71,On the Duty of Civil Disobedience ,English
72,"Thuvia, Maid of Mars ",English
73,The Red Badge of Courage ,English
74,The Adventures of Tom Sawyer ,English
75,Email 101 ,English
76,Adventures of Huckleberry Finn ,English
77,The House of the Seven Gables ,English
78,Tarzan of the Apes ,English
79,Terminal Compromise ,English
80,The Online World ,English
81,The Return of Tarzan ,English
82,Ivanhoe ,English
83,None,None
84,Frankenstein ,English
85,The Beasts of Tarzan ,English
86,A Connecticut Yankee in King Arthurâs Court ,English
87,The 1993 CIA World Factbook ,English
88,Price/Cost Indexes from 1875 to 1989 ,English
90,The Son of Tarzan ,English
91,Tom Sawyer Abroad ,English
92,Tarzan and the Jewels of Opar ,English
93,"Tom Sawyer, Detective ",English
94,Alexanderâs Bridge and The Barrel Organ ,English
95,The Prisoner of Zenda ,English
96,The Monster Men ,English
97,Flatland ,English
98,A Tale of Two Cities ,English
99,Collected Articles of Frederick Douglass ,English
